step,actic loss,critic loss,average distance,time
4300,-0.2019,0.2989,3.2709,0min0sec
4310,-0.2015,0.2983,3.2702,0min0sec
4320,-0.2010,0.2976,3.2694,0min0sec
4330,-0.2006,0.2970,3.2687,0min0sec
4340,-0.2002,0.2964,3.2679,0min0sec
4350,-0.1998,0.2958,3.2672,0min0sec
4360,-0.1994,0.2952,3.2665,0min0sec
4370,-0.1989,0.2946,3.2657,0min0sec
4380,-0.1985,0.2940,3.2650,0min0sec
4390,-0.1981,0.2934,3.2642,0min0sec
4400,-0.1977,0.2928,3.2635,0min0sec
4410,-0.1973,0.2922,3.2628,0min0sec
4420,-0.1969,0.2916,3.2620,0min0sec
4430,-0.1965,0.2910,3.2613,0min0sec
4440,-0.1960,0.2904,3.2606,0min0sec
4450,-0.1956,0.2898,3.2599,0min0sec
4460,-0.1953,0.2893,3.2592,0min0sec
4470,-0.1949,0.2887,3.2585,0min0sec
4480,-0.1945,0.2881,3.2578,0min0sec
4490,-0.1941,0.2875,3.2571,0min0sec
4500,-0.1937,0.2870,3.2564,0min0sec
4510,-0.1933,0.2864,3.2557,0min0sec
4520,-0.1929,0.2858,3.2550,0min0sec
4530,-0.1925,0.2853,3.2543,0min0sec
4540,-0.1921,0.2847,3.2536,0min0sec
4550,-0.1917,0.2842,3.2529,0min0sec
4560,-0.1913,0.2836,3.2523,0min0sec
4570,-0.1909,0.2830,3.2516,0min0sec
4580,-0.1905,0.2825,3.2509,0min0sec
4590,-0.1902,0.2819,3.2503,0min0sec
4600,-0.1898,0.2814,3.2496,0min0sec
4610,-0.1894,0.2809,3.2490,0min0sec
4620,-0.1890,0.2803,3.2483,0min0sec
4630,-0.1887,0.2798,3.2477,0min0sec
4640,-0.1883,0.2792,3.2470,0min0sec
4650,-0.1879,0.2787,3.2464,0min0sec
4660,-0.1875,0.2782,3.2457,0min0sec
4670,-0.1872,0.2776,3.2451,0min0sec
4680,-0.1868,0.2771,3.2444,0min0sec
4690,-0.1865,0.2766,3.2438,0min0sec
4700,-0.1861,0.2760,3.2431,0min0sec
4710,-0.1857,0.2755,3.2425,0min0sec
4720,-0.1854,0.2750,3.2418,0min0sec
4730,-0.1850,0.2745,3.2412,0min0sec
4740,-0.1847,0.2740,3.2406,0min0sec
4750,-0.1843,0.2735,3.2399,0min0sec
4760,-0.1839,0.2730,3.2393,0min0sec
4770,-0.1836,0.2725,3.2387,0min0sec
4780,-0.1832,0.2720,3.2381,0min0sec
4790,-0.1829,0.2715,3.2375,0min0sec
4800,-0.1825,0.2710,3.2369,0min0sec
4810,-0.1822,0.2705,3.2363,0min0sec
4820,-0.1818,0.2700,3.2357,0min0sec
4830,-0.1815,0.2695,3.2351,0min0sec
4840,-0.1812,0.2690,3.2345,0min0sec
4850,-0.1808,0.2685,3.2339,0min0sec
4860,-0.1805,0.2680,3.2333,0min0sec
4870,-0.1801,0.2675,3.2327,0min0sec
4880,-0.1798,0.2670,3.2321,0min0sec
4890,-0.1795,0.2665,3.2315,0min0sec
4900,-0.1791,0.2660,3.2309,0min0sec
4910,-0.1788,0.2655,3.2303,0min0sec
4920,-0.1785,0.2650,3.2297,0min0sec
4930,-0.1781,0.2646,3.2291,0min0sec
4940,-0.1778,0.2641,3.2285,0min0sec
4950,-0.1775,0.2636,3.2280,0min0sec
4960,-0.1772,0.2631,3.2274,0min0sec
4970,-0.1768,0.2626,3.2268,0min0sec
4980,-0.1765,0.2622,3.2262,0min0sec
4990,-0.1762,0.2617,3.2256,0min0sec
5000,-0.1759,0.2612,3.2251,0min0sec
5010,-0.1756,0.2608,3.2245,0min0sec
5020,-0.1752,0.2603,3.2239,0min0sec
5030,-0.1749,0.2599,3.2234,0min0sec
5040,-0.1746,0.2594,3.2228,0min0sec
5050,-0.1743,0.2589,3.2223,0min0sec
5060,-0.1740,0.2585,3.2217,0min0sec
5070,-0.1737,0.2580,3.2212,0min0sec
5080,-0.1734,0.2576,3.2206,0min0sec
5090,-0.1731,0.2571,3.2201,0min0sec
5100,-0.1728,0.2567,3.2195,0min0sec
5110,-0.1724,0.2562,3.2189,0min0sec
5120,-0.1721,0.2558,3.2184,0min0sec
5130,-0.1718,0.2553,3.2178,0min0sec
5140,-0.1715,0.2549,3.2173,0min0sec
5150,-0.1712,0.2544,3.2168,0min0sec
5160,-0.1709,0.2540,3.2162,0min0sec
5170,-0.1706,0.2535,3.2157,0min0sec
5180,-0.1703,0.2531,3.2152,0min0sec
5190,-0.1700,0.2527,3.2147,0min0sec
5200,-0.1697,0.2522,3.2142,0min0sec
5210,-0.1695,0.2518,3.2136,0min0sec
5220,-0.1692,0.2514,3.2131,0min0sec
5230,-0.1689,0.2509,3.2126,0min0sec
5240,-0.1686,0.2505,3.2120,0min0sec
5250,-0.1683,0.2501,3.2115,0min0sec
5260,-0.1680,0.2496,3.2110,0min0sec
5270,-0.1677,0.2492,3.2105,0min0sec
5280,-0.1674,0.2488,3.2100,0min0sec
5290,-0.1671,0.2484,3.2094,0min0sec
5300,-0.1668,0.2479,3.2089,0min0sec
5310,-0.1666,0.2475,3.2084,0min0sec
5320,-0.1663,0.2471,3.2079,0min0sec
5330,-0.1660,0.2467,3.2074,0min0sec
5340,-0.1657,0.2463,3.2069,0min0sec
5350,-0.1654,0.2459,3.2064,0min0sec
5360,-0.1651,0.2455,3.2059,0min0sec
5370,-0.1649,0.2450,3.2054,0min0sec
5380,-0.1646,0.2446,3.2049,0min0sec
5390,-0.1643,0.2442,3.2044,0min0sec
5400,-0.1640,0.2438,3.2039,0min0sec
5410,-0.1638,0.2434,3.2034,0min0sec
5420,-0.1635,0.2430,3.2029,0min0sec
5430,-0.1632,0.2426,3.2025,0min0sec
5440,-0.1629,0.2422,3.2020,0min0sec
5450,-0.1627,0.2418,3.2015,0min0sec
5460,-0.1624,0.2414,3.2010,0min0sec
5470,-0.1621,0.2410,3.2005,0min0sec
5480,-0.1619,0.2406,3.2000,0min0sec
5490,-0.1616,0.2402,3.1996,0min0sec
5500,-0.1613,0.2398,3.1991,0min0sec
5510,-0.1611,0.2395,3.1987,0min0sec
5520,-0.1608,0.2391,3.1982,0min0sec
