step,actic loss,critic loss,average distance,time
4150,-0.1138,0.2253,3.0020,0min0sec
4160,-0.1136,0.2248,3.0012,0min0sec
4170,-0.1133,0.2243,3.0004,0min0sec
4180,-0.1131,0.2239,2.9996,0min0sec
4190,-0.1128,0.2234,2.9988,0min0sec
4200,-0.1126,0.2229,2.9980,0min0sec
4210,-0.1123,0.2224,2.9973,0min0sec
4220,-0.1121,0.2219,2.9965,0min0sec
4230,-0.1119,0.2215,2.9957,0min0sec
4240,-0.1116,0.2210,2.9949,0min0sec
4250,-0.1114,0.2205,2.9942,0min0sec
4260,-0.1112,0.2200,2.9934,0min0sec
4270,-0.1109,0.2196,2.9927,0min0sec
4280,-0.1107,0.2191,2.9919,0min0sec
4290,-0.1105,0.2187,2.9912,0min0sec
4300,-0.1103,0.2182,2.9904,0min0sec
4310,-0.1100,0.2177,2.9897,0min0sec
4320,-0.1098,0.2173,2.9889,0min0sec
4330,-0.1096,0.2168,2.9882,0min0sec
4340,-0.1094,0.2164,2.9875,0min0sec
4350,-0.1091,0.2159,2.9867,0min0sec
4360,-0.1089,0.2155,2.9860,0min0sec
4370,-0.1087,0.2150,2.9853,0min0sec
4380,-0.1085,0.2146,2.9845,0min0sec
4390,-0.1082,0.2141,2.9838,0min0sec
4400,-0.1080,0.2137,2.9831,0min0sec
4410,-0.1078,0.2133,2.9824,0min0sec
4420,-0.1076,0.2128,2.9817,0min0sec
4430,-0.1074,0.2124,2.9810,0min0sec
4440,-0.1072,0.2119,2.9803,0min0sec
4450,-0.1070,0.2115,2.9796,0min0sec
4460,-0.1068,0.2111,2.9789,0min0sec
4470,-0.1065,0.2107,2.9782,0min0sec
4480,-0.1063,0.2102,2.9776,0min0sec
4490,-0.1061,0.2098,2.9769,0min0sec
4500,-0.1059,0.2094,2.9762,0min0sec
4510,-0.1057,0.2090,2.9755,0min0sec
4520,-0.1055,0.2085,2.9748,0min0sec
4530,-0.1053,0.2081,2.9742,0min0sec
4540,-0.1051,0.2077,2.9735,0min0sec
4550,-0.1049,0.2073,2.9728,0min0sec
4560,-0.1047,0.2069,2.9721,0min0sec
4570,-0.1045,0.2065,2.9715,0min0sec
4580,-0.1043,0.2060,2.9708,0min0sec
4590,-0.1041,0.2056,2.9701,0min0sec
4600,-0.1039,0.2052,2.9694,0min0sec
4610,-0.1037,0.2048,2.9688,0min0sec
4620,-0.1035,0.2044,2.9681,0min0sec
4630,-0.1033,0.2040,2.9675,0min0sec
4640,-0.1031,0.2036,2.9668,0min0sec
4650,-0.1029,0.2032,2.9662,0min0sec
4660,-0.1027,0.2028,2.9656,0min0sec
4670,-0.1025,0.2024,2.9649,0min0sec
4680,-0.1023,0.2020,2.9643,0min0sec
4690,-0.1021,0.2016,2.9636,0min0sec
4700,-0.1019,0.2012,2.9630,0min0sec
4710,-0.1017,0.2009,2.9623,0min0sec
4720,-0.1016,0.2005,2.9617,0min0sec
4730,-0.1014,0.2001,2.9611,0min0sec
4740,-0.1012,0.1997,2.9605,0min0sec
4750,-0.1010,0.1993,2.9599,0min0sec
4760,-0.1008,0.1989,2.9592,0min0sec
4770,-0.1006,0.1985,2.9586,0min0sec
4780,-0.1004,0.1982,2.9580,0min0sec
4790,-0.1002,0.1978,2.9574,0min0sec
4800,-0.1001,0.1974,2.9568,0min0sec
4810,-0.0999,0.1970,2.9562,0min0sec
4820,-0.0997,0.1967,2.9555,0min0sec
4830,-0.0995,0.1963,2.9549,0min0sec
4840,-0.0993,0.1959,2.9544,0min0sec
4850,-0.0992,0.1956,2.9538,0min0sec
4860,-0.0990,0.1952,2.9532,0min0sec
4870,-0.0988,0.1948,2.9526,0min0sec
4880,-0.0986,0.1945,2.9520,0min0sec
4890,-0.0985,0.1941,2.9514,0min0sec
4900,-0.0983,0.1937,2.9508,0min0sec
4910,-0.0981,0.1934,2.9502,0min0sec
4920,-0.0979,0.1930,2.9497,0min0sec
4930,-0.0977,0.1927,2.9491,0min0sec
4940,-0.0976,0.1923,2.9485,0min0sec
4950,-0.0974,0.1919,2.9480,0min0sec
4960,-0.0972,0.1916,2.9474,0min0sec
4970,-0.0970,0.1912,2.9468,0min0sec
4980,-0.0969,0.1909,2.9462,0min0sec
4990,-0.0967,0.1905,2.9457,0min0sec
5000,-0.0965,0.1902,2.9451,0min0sec
5010,-0.0964,0.1898,2.9445,0min0sec
5020,-0.0962,0.1895,2.9440,0min0sec
5030,-0.0960,0.1892,2.9434,0min0sec
5040,-0.0959,0.1888,2.9429,0min0sec
5050,-0.0957,0.1885,2.9423,0min0sec
5060,-0.0955,0.1881,2.9418,0min0sec
5070,-0.0954,0.1878,2.9412,0min0sec
5080,-0.0952,0.1875,2.9406,0min0sec
5090,-0.0950,0.1871,2.9401,0min0sec
5100,-0.0949,0.1868,2.9396,0min0sec
5110,-0.0947,0.1865,2.9391,0min0sec
5120,-0.0945,0.1861,2.9385,0min0sec
5130,-0.0944,0.1858,2.9380,0min0sec
5140,-0.0942,0.1855,2.9375,0min0sec
5150,-0.0940,0.1851,2.9369,0min0sec
5160,-0.0939,0.1848,2.9364,0min0sec
5170,-0.0937,0.1845,2.9359,0min0sec
5180,-0.0936,0.1842,2.9353,0min0sec
5190,-0.0934,0.1838,2.9348,0min0sec
5200,-0.0933,0.1835,2.9343,0min0sec
5210,-0.0931,0.1832,2.9337,0min0sec
5220,-0.0930,0.1829,2.9332,0min0sec
5230,-0.0928,0.1825,2.9327,0min0sec
5240,-0.0926,0.1822,2.9322,0min0sec
5250,-0.0925,0.1819,2.9317,0min0sec
5260,-0.0923,0.1816,2.9312,0min0sec
5270,-0.0922,0.1813,2.9307,0min0sec
5280,-0.0920,0.1810,2.9302,0min0sec
5290,-0.0919,0.1807,2.9297,0min0sec
5300,-0.0917,0.1804,2.9292,0min0sec
5310,-0.0916,0.1800,2.9287,0min0sec
5320,-0.0914,0.1797,2.9282,0min0sec
5330,-0.0913,0.1794,2.9277,0min0sec
5340,-0.0911,0.1791,2.9272,0min0sec
5350,-0.0910,0.1788,2.9267,0min0sec
5360,-0.0908,0.1785,2.9262,0min0sec
5370,-0.0907,0.1782,2.9257,0min0sec
5380,-0.0905,0.1779,2.9252,0min0sec
5390,-0.0904,0.1776,2.9247,0min0sec
5400,-0.0902,0.1773,2.9242,0min0sec
5410,-0.0901,0.1770,2.9238,0min0sec
5420,-0.0900,0.1767,2.9233,0min0sec
5430,-0.0898,0.1764,2.9228,0min0sec
5440,-0.0897,0.1761,2.9223,0min0sec
5450,-0.0895,0.1758,2.9218,0min0sec
5460,-0.0894,0.1755,2.9213,0min0sec
5470,-0.0892,0.1752,2.9208,0min0sec
5480,-0.0891,0.1749,2.9204,0min0sec
5490,-0.0889,0.1746,2.9199,0min0sec
5500,-0.0888,0.1744,2.9194,0min0sec
5510,-0.0887,0.1741,2.9190,0min0sec
5520,-0.0885,0.1738,2.9185,0min0sec
5530,-0.0884,0.1735,2.9180,0min0sec
5540,-0.0883,0.1732,2.9176,0min0sec
5550,-0.0881,0.1729,2.9171,0min0sec
5560,-0.0880,0.1726,2.9167,0min0sec
5570,-0.0878,0.1724,2.9162,0min0sec
5580,-0.0877,0.1721,2.9158,0min0sec
5590,-0.0876,0.1718,2.9153,0min0sec
